Vermont	0.33183452694695065
New York	0.26560858326577186
Europe	0.3241059911720603
Berlin	0.31900917718506505
West	0.2617777223683003
Plymouth	0.30921955954397023
California	0.251107966374348
Point	0.37270240477606936
Arkansas	0.2994514265961099
Nebraska	0.37270240477606936
Russia	0.3473027602707098
Omaha	0.30921955954397023
Brookline	0.4444444445406974
Asia	0.287364325746296
Pacific	0.34448597505089895
Texas	0.29703171009530027
Massachusetts	0.29333333342967344
Connecticut	0.36701118781901004
America	0.3334349044086536
Ohio	0.25623332280863265
Georgia	0.29804267176340743
Dakota	0.3736852800095349
Northampton	0.26069955324435873
Korea	0.34910178303431727
