Bernanke	0.5200000005585674
everybody	0.2415754502641349
Folks	0.3845833681463467
Governor Huckabee	0.30878675657474414
reputation	0.4190476192382152
Mr. Trump	0.3144950528486049
closing statements	0.317420253767667
dollars	0.23407393014624417
Governor John	0.5500000001905961
Governor Kasich	0.3193114934133276
Governor Christie	0.2521062661072101
Bush	0.23414836110609377
Rick	0.2533916396010493
Becky	0.36684573335683207
chance	0.2521062661072101
marketing study	0.40000000019226284
Dr. Carson	0.22556776121740688
words	0.4133333335255962
Senator	0.33333333352392946
Ben	0.24833752560135433
Governor	0.5525608340173802
Kasich	0.3596516900403162
governor	0.23748777314943137
family	0.23681960124758153
Rubio	0.37241444183521205
