Bernanke	0.5200000005585674
Quick	0.5450049202913834
Jeff Sessions	0.5666666668162015
Perkins	0.39069092832737484
Donald Trump	0.2201810361982705
Jeb	0.22739781972886783
Hickenlooper	0.5500000001495348
Carl	0.37550199839284026
John	0.20000000055856737
Sharon Epperson	0.38143679113207984
Carly Fiorina	0.46538840333599946
Paul	0.37772554439811634
Trump	0.37006313371307237
Kerry	0.4172026930538391
Rick Santelli	0.38143679113207984
Ryan	0.43478511063625663
Cruz	0.3107669333677456
Bush	0.31045827780610574
Kasich	0.3596516900403162
Rick	0.38435507998397134
John Harwood	0.38143679113207984
Marco Rubio	0.2201810361982705
Rubio	0.35746313568368837
Becky	0.36762648525451647
