Vermont	0.3208865566613096
Texas Congressman	0.3073872811988384
Claudia	0.4133396621512193
Vice President Hubert	0.3073872811988384
Arkansas	0.33279695817955923
Nebraska	0.3806473544589116
Omaha	0.31572933414647214
President	0.4316683061275615
October	0.34622592317714673
Lieutenant	0.40598672097474875
Massachusetts	0.3001046504872515
Third	0.40598672097474875
William Jefferson Blythe	0.32908720114182366
Plymouth	0.31572933414647214
Southwest Texas	0.3073872811988384
California	0.30042624948052604
Clinton	0.3250000000956791
August	0.331561099314923
Brookline	0.4500000000957149
Governor	0.3293352541654963
Jefferson Blythe III	0.2580848660384664
Texas	0.3269362023501963
Illinois	0.3535788643536173
Georgia	0.33476698095904733
Northampton	0.26755171093852514
